,autovalores
"('890.3',)",18951.20727637365
"('838.2',)",11217.30047509982
"('864.1',)",9724.650188378098
"('890.1',)",3511.738254390649
"('852r.2',)",1556.2855752449295
"('852r.1',)",1387.6948383815695
"('846.2',)",1071.398526551531
"('852r.3',)",621.7745525547348
"('890.2',)",518.7632257555879
"('852.3',)",440.3502171072392
"('888.1',)",412.65433809805444
"('852.2',)",303.9780866695641
"('852.1',)",297.5457133825954
"('848.1',)",221.4524855222267
"('848.3',)",208.64677638595933
"('856.2',)",179.05930375085796
"('848.2',)",172.41688997157272
"('846.3',)",157.4825893499207
"('844.3',)",136.33870167855113
"('844.2',)",125.0172765992452
"('888.3',)",107.21205162374555
"('888.2',)",105.98234129670685
"('846.1',)",101.83721878301775
"('844.1',)",97.4975289889217
"('862.3',)",80.52675326626293
"('840.3',)",75.62956644175637
"('840.2',)",72.35414560396536
"('840.1',)",68.8279908567537
"('862.1',)",59.54232673086184
"('862.2',)",58.6549431219387
"('836.3',)",54.75959541456511
"('836.2',)",53.52199283316276
"('842.3',)",45.34564941877993
"('836.1',)",45.01894988073431
"('842.2',)",40.329134487116974
"('842.1',)",39.12502937501059
"('860.1',)",33.94572882170258
"('860.3',)",28.801392714772945
"('860.2',)",28.548634770571773
"('834.3',)",22.7204745335994
"('834.2',)",22.20608372361138
"('834.1',)",18.044314952687657
"('858.1',)",17.144419674106967
"('858.3',)",14.562508564056001
"('858.2',)",13.781920104262934
"('832.3',)",13.555607755896741
"('832.2',)",13.454334891570623
"('832.1',)",12.326321942981215
"('828.3',)",10.633788525680599
"('830.1',)",10.433605412862923
"('854.3',)",9.646774960684015
"('830.2',)",9.108296667197438
"('854.1',)",8.879613970563126
"('854.2',)",8.756022747662994
"('830.3',)",8.490302635482749
"('828.2',)",7.716219199203811
"('828.1',)",7.516603793307307
"('824.1',)",6.251822796652698
"('826.2',)",6.156426378098799
"('818.1',)",5.780798958222031
"('824.2',)",5.233612437262942
"('820.1',)",4.93676649339453
"('822.1',)",4.4797041842878205
"('824.3',)",4.15120941688322
"('850.2',)",4.014448515343322
"('816.3',)",3.718503505639713
"('850.3',)",3.339741183797166
"('816.2',)",3.3308184957471094
"('816.1',)",3.3148665789712966
"('850.1',)",2.7015884674423782
"('814r.3',)",2.4226310935998256
"('814r.2',)",2.4016785057325363
"('814r.1',)",2.199466086676453
"('814.2',)",1.6479471355859654
"('814.1',)",1.5983562002282214
"('814.3',)",1.5935138665085269
"('812.2',)",1.4134063819556646
"('812.3',)",1.398960867863093
"('808.2',)",1.3204646997623932
"('808.1',)",1.1227962831537535
"('810.2',)",1.1107180200659803
"('806.3',)",1.0989968412216649
"('808.3',)",1.028079590033245
"('812.1',)",1.0175940145625335
"('802.3',)",0.787720089028694
"('806.2',)",0.6954805105135038
"('806.1',)",0.675469316052284
"('802.2',)",0.5058780662409409
"('802.1',)",0.49131835591387946
"('800.3',)",0.06497947090892409
"('800.2',)",0.0644752791143783
"('800.1',)",0.027454239235297828
"('sourcebus.2',)",0.027241625144443525
"('sourcebus.3',)",0.019974087656817414
"('sourcebus.1',)",0.01982034065069938
